id,title,company,industry,location,salary,employment_type,experience,education,posted_date,closing_date,contact_email,contact_phone,apply_instructions,description,requirements,url,source
38025,"Marketing Manager, CEO Assistant",MFIT,N/A,N/A,$600 - $1000 Other Benefits,N/A,N/A,N/A,N/A,31-Jan-2026,TO:hrm@mfitshop.com,086 877 070,N/A,"Apply Now
Workplace Circumstances
Environment:
Office
Languages:
Khmer, English
Location:
Phnom Penh
Position Circumstances
Career Category:
Sales / Marketing
Schedule:
Full-time
Salary:
$700 - $1500
Position Summary
Cambodian Citizen
We’re looking
for
a creative
and
strategic Marketing
Manager
to lead our marketing team, grow brand awareness,
and
drive sales
performance
both online
and
offline.
This
role requires someone
who
combines creativity
with
data-driven thinking
and
has
a
strong passion
for
fitness
and
marketing innovation.
Duties & Responsibilities:
Key Responsibilities
Plan
and
execute marketing campaigns
for
retail
and
online channels.
Lead social media, influencer,
and
event marketing activities.
Analyze
performance
and develop growth strategies.
Work closely
with
sales, design,
and
operations teams
to
align goals.
Manage content calendars, ad budgets,
and
brand consistency.
Build partnerships
to
expand brand visibility
and
engagement.
Qualifications
Bachelor’s
degree
in Marketing, Business,
or
related field.
Minimum 5 years’ experience
in
marketing
or
brand management.
Cambodian Citizen
Proven experience
in
digital marketing
and
social media management.
Strong leadership, creativity,
and
analytical skills.
Proficient
in
Meta Ads, Google Ads, Canva,
or
other creative tools.
Excellent communication
in
English
and
Khmer.
Benefits:
Paid Leave – Annual
Paid Leave – Illness
Training – In-House Programs
Allowance – Overtime
Allowance – Annual Bonus / 13th Month Salary
Allowance – Meals
Company Uniforms
or
Clothing Support
Allowance – Tuition / Education
Expected Profile of Candidates
Languages:
English
- Good
is
required
Qualifications:
Bachelor's Degree
in
Marketing, Business,
or
related field.
Work History:
Experience
in
marketing
or
brand management for  5  years
Skills & Knowledge:
General & Technical Skills
Proven experience
in
digital marketing
and
social media management.
Strong leadership, creativity,
and
analytical skills.
Proficient
in
Meta Ads, Google Ads, Canva,
or
other creative tools.
Excellent communication
in
English
and
Khmer.","Samnang 12 , Phum 2, Sangkat Tuek L'ak Ti Pir, Khan Tuol Kouk, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/marketing_manager_ceo_assistant_38025.html,BongThom
38029,"Marketing Assistant, English Khmer Translator, and Accountant & Procurement Officer","Expert Education And Visa Services (Cambodia) Co., Ltd.",N/A,N/A,Negotiable,N/A,N/A,hreevsc@experteducation.com.au,N/A,31-Jan-2026,TO:hreevsc@experteducation.com.au,N/A,N/A,"Expert education
and
visa
services
(Cambodia) Co., Ltd (EEVSC) provides education & visa consultation
services
for international students looking
to
study abroad. Over
the
years, we’ve helped over 100,000 international students achieve
their
academic goals abroad. We partner
with
more than 400 education institutions
in
Australia, Canada,
the
UK
and
the US
to
help you get into
the
college
or
university you prefer. We hope
to
turn into reality your dream
of
gaining excellence
in
education.","#Building No. 113C, Ground Floor, U06, Mao Tse Toung Boulevard (245), Phum 7, Sangkat Tuol Svay Prey Ti Muoy, Khan Boeng Keng Kang, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/marketing_assistant_english_khmer_transl_38029.html,BongThom
37896,"Chief Academic Officer, Chief Division Officer, Head of School, School Principal, Facility Officer, and Others",NTC Group,N/A,N/A,Negotiable,N/A,N/A,Educational (schools / universities etc.),N/A,20-Jan-2026,TO:recruitment@ntcgroup.com.kh,015 838 515,N/A,"NTC GROUP
is
dedicated
to
establishing itself
as
a premier educational community
in
Cambodia, recognized both locally
and
internationally
for
delivering comprehensive formal
and
non-formal education
to
both Cambodian
and
international students.
In
collaboration
with
the Ministry
of
Education, Youth
and
Sport (MoEYS), we aim
to
foster
the
development
of
human resources within
the
country. Our current subsidiaries include Sovannaphumi School, Pacific Kids School, East West International School, American Pacific International School,
and
the NTC Training Center.
NTC GROUP
is
seeking qualified
and
committed
for
the positions below:","No. 03, 60CW Street, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/chief_academic_officer_chief_division_of_37896.html,BongThom
37880,"Upper Secondary Science Teacher, Upper Secondary ELA Teacher, Secondary Support Teacher, and Early Years Teacher",Westview Cambodian International School,N/A,N/A,Negotiable,N/A,N/A,Educational (schools / universities etc.),N/A,17-Jan-2026,TO:hr@westview.edu.kh,095 223 026,N/A,"Westview Cambodian International School
is
the great extension
to
secondary education by
the
passionate leadership team
of
Learning Jungle International School
Cambodia
(LJIS) offering educational
services
only
from
preschool
to
elementary program.
With
the strong
support
from parents, students, staff,
and
the Ministry
of
Education, Youth
and
Sport, Westview Cambodian International School
is
created
to
offer
the
International Secondary
program
built
from
the world-renowned standards
of
education, American Common Core Standards (ACCS),
and
the Khmer language, history
and
culture into one unique curriculum
from
grades 7
to
12.","No. 14, Street 337, Sangkat Boeng Kak Ti Muoy, Khan Tuol Kouk, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/upper_secondary_science_teacher_upper_se_37880.html,BongThom
37758,"Head of Student Affairs, Deputy Head of Student Affairs, Student Affairs Supervisor, and Digital Marketing Supervisor",Westview Cambodian International School,N/A,N/A,"up to 1500 USD based on qualifications, with additional bonuses and benefits.",N/A,N/A,Educational (schools / universities etc.),N/A,09-Jan-2026,TO:hr@ljis.edu.kh,095 223 026,N/A,"Westview Cambodian International School
is
the great extension
to
secondary education by
the
passionate leadership team
of
Learning Jungle International School
Cambodia
(LJIS) offering educational
services
only
from
preschool
to
elementary program.
With
the strong
support
from parents, students, staff,
and
the Ministry
of
Education, Youth
and
Sport, Westview Cambodian International School
is
created
to
offer
the
International Secondary
program
built
from
the world-renowned standards
of
education, American Common Core Standards (ACCS),
and
the Khmer language, history
and
culture into one unique curriculum
from
grades 7
to
12.","No. 14, Street 337, Sangkat Boeng Kak Ti Muoy, Khan Tuol Kouk, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/head_of_student_affairs_deputy_head_of_s_37758.html,BongThom
37759,"Front Office Manager, Deputy Front Office Manager, Front Office Supervisor, and IT Officer",Westview Cambodian International School,N/A,N/A,$400 - $600,N/A,N/A,Educational (schools / universities etc.),N/A,09-Jan-2026,TO:hr@ljis.edu.kh,095 223 026,N/A,"Westview Cambodian International School
is
the great extension
to
secondary education by
the
passionate leadership team
of
Learning Jungle International School
Cambodia
(LJIS) offering educational
services
only
from
preschool
to
elementary program.
With
the strong
support
from parents, students, staff,
and
the Ministry
of
Education, Youth
and
Sport, Westview Cambodian International School
is
created
to
offer
the
International Secondary
program
built
from
the world-renowned standards
of
education, American Common Core Standards (ACCS),
and
the Khmer language, history
and
culture into one unique curriculum
from
grades 7
to
12.","No. 14, Street 337, Sangkat Boeng Kak Ti Muoy, Khan Tuol Kouk, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/front_office_manager_deputy_front_office_37759.html,BongThom
37981,"Public Relations Officer, and Procurement Officer",Khmer Enterprise,N/A,N/A,Negotiable,N/A,N/A,N/A,N/A,24-Jan-2026,N/A,N/A,N/A,"Khmer Enterprise (KE)
is
hiring
an
individual talent
to
join our growing team
and
support Cambodia's entrepreneurship ecosystem.","Business Development Center (BDC) Building, 9th Floor, OCIC Blvd, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/public_relations_officer_and_procurement_37981.html,BongThom
37927,"Admin Officer, អ្នកតំណាងលក់, និង អ្នកបើកបរ","Bayon Heritage Holding Group Co., Ltd.",N/A,N/A,$300,N/A,N/A,N/A,N/A,22-Jan-2026,TO:chamroeun.um@bayonheritage.com,071 455 0013,N/A,"We
are
looking
for
qualified
candidate
to
fill
for
the
position below.","#A21-A23(One Park Shop House),St.566, Village 1, Sangkat Srah Chak, Khan Doun Penh, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/admin_officer_37927.html,BongThom
37806,"Project Coordinator/Lead, Entrepreneurship Ecosystem Specialist, and Intern",Khmer Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13-Jan-2026,N/A,N/A,N/A,"Khmer Enterprise (KE)
is
hiring many positions
to
join our growing team
and
support Cambodia's entrepreneurship ecosystem.","Business Development Center (BDC) Building, 9th Floor, OCIC Blvd, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia",https://www.bongthom.com/job_detail/project_coordinator_lead_entrepreneurshi_37806.html,BongThom
38016,សេខក្តីប្រកាសដាក់ឲ្យដេញថ្លៃលក់ទោចក្រយាន និង យានយន្ត,SOS Children's Villages of Cambodia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20-Jan-2026,N/A,016 270 097,N/A,យើងខ្ញុំ​កំពុង​ស្វែងរក​សំណើ​រសុំការ​ដេញថ្លៃ​ដូច​ខាងក្រោម​។,"# 44Bis, Street 334, Sangkat Boeng Keng Kang Ti Muoy, Khan Boeng Keng Kang, Phnom Penh, Cambodia
Mondol Bei, Sla Kram Sangkat, Siem Reap Municipality, Siemreap Province, Cambodia",https://www.bongthom.com/job_detail/view_detail_38016.html,BongThom
