id,title,company,location,posted_raw,url,source
38025,"Marketing Manager, CEO Assistant",MFIT,N/A,N/A,https://www.bongthom.com/job_detail/marketing_manager_ceo_assistant_38025.html,BongThom
38029,"Marketing Assistant, English Khmer Translator, and Accountant & Procurement Officer","Expert Education And Visa Services (Cambodia) Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/marketing_assistant_english_khmer_transl_38029.html,BongThom
37896,"Chief Academic Officer, Chief Division Officer, Head of School, School Principal, Facility Officer, and Others",NTC Group,N/A,N/A,https://www.bongthom.com/job_detail/chief_academic_officer_chief_division_of_37896.html,BongThom
37880,"Upper Secondary Science Teacher, Upper Secondary ELA Teacher, Secondary Support Teacher, and Early Years Teacher",Westview Cambodian International School,N/A,N/A,https://www.bongthom.com/job_detail/upper_secondary_science_teacher_upper_se_37880.html,BongThom
37758,"Head of Student Affairs, Deputy Head of Student Affairs, Student Affairs Supervisor, and Digital Marketing Supervisor",Westview Cambodian International School,N/A,N/A,https://www.bongthom.com/job_detail/head_of_student_affairs_deputy_head_of_s_37758.html,BongThom
37759,"Front Office Manager, Deputy Front Office Manager, Front Office Supervisor, and IT Officer",Westview Cambodian International School,N/A,N/A,https://www.bongthom.com/job_detail/front_office_manager_deputy_front_office_37759.html,BongThom
37981,"Public Relations Officer, and Procurement Officer",Khmer Enterprise,N/A,N/A,https://www.bongthom.com/job_detail/public_relations_officer_and_procurement_37981.html,BongThom
37927,"Admin Officer, អ្នកតំណាងលក់, និង អ្នកបើកបរ","Bayon Heritage Holding Group Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/admin_officer_37927.html,BongThom
37806,"Project Coordinator/Lead, Entrepreneurship Ecosystem Specialist, and Intern",Khmer Enterprise,N/A,N/A,https://www.bongthom.com/job_detail/project_coordinator_lead_entrepreneurshi_37806.html,BongThom
38016,សេខក្តីប្រកាសដាក់ឲ្យដេញថ្លៃលក់ទោចក្រយាន និង យានយន្ត,SOS Children's Villages of Cambodia,N/A,N/A,https://www.bongthom.com/job_detail/view_detail_38016.html,BongThom
38033,"Project Assistant – Health Promotion in School, and Library Project Staff",World Share Cambodia,N/A,N/A,https://www.bongthom.com/job_detail/project_assistant_health_promotion_in_sc_38033.html,BongThom
38032,មន្ត្រីសហគមន៍,Reproductive Health Association of Cambodia,N/A,N/A,https://www.bongthom.com/job_detail/view_detail_38032.html,BongThom
38030,"បុគ្គលិកអភិបាល, អ្នកផ្តល់ប្រឹក្សាតាមរយៈអនឡាញ,  និង អ្នកអប់រំផ្ទាល់",Cambodian Women for Peace and Development,N/A,N/A,https://www.bongthom.com/job_detail/view_detail_38030.html,BongThom
38024,Skills Development Specialist,Skills Development Fund,N/A,N/A,https://www.bongthom.com/job_detail/skills_development_specialist_38024.html,BongThom
38028,Project Coordinator,"Ministry of Agriculture, Forestry and Fisheries",N/A,N/A,https://www.bongthom.com/job_detail/project_coordinator_38028.html,BongThom
38026,"Project Manager, MEP Designer, and Procurement Officer",Urgent,N/A,N/A,https://www.bongthom.com/job_detail/project_manager_mep_designer_and_procure_38026.html,BongThom
38005,"មន្ត្រីអភិវឌ្ឍន៍ទីផ្សារ និងគាំទ្របច្ចេកទេស, មន្ត្រីអភិវឌ្ឍន៍ទីផ្សារ និងគាំទ្របច្ចេកទេសបន្លែក្នុងផ្ទះសំណាញ់","K S Seed Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/view_detail_38005.html,BongThom
38020,Automative Oil Sales Executive,"TotalEnergies Marketing (Cambodia) Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/automative_oil_sales_executive_38020.html,BongThom
38021,Project Manager,"TotalEnergies Marketing (Cambodia) Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/project_manager_38021.html,BongThom
38023,Depot Engineer/HSSE,"TotalEnergies Marketing (Cambodia) Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/depot_engineer_hsse_38023.html,BongThom
38018,Independent Consultant for CHAI -Costing and Financial Analysis Consultant for HIV Program NSP,Clinton Health Access Initiative - CHAI,N/A,N/A,https://www.bongthom.com/job_detail/independent_consultant_for_chai_costing_38018.html,BongThom
38017,"Senior Program Manager, PHC and Integration",Clinton Health Access Initiative - CHAI,N/A,N/A,https://www.bongthom.com/job_detail/senior_program_manager_phc_and_integrati_38017.html,BongThom
38019,Finance & Admin Assistant,Child Rights Coalition Cambodia (CRC-Cambodia),N/A,N/A,https://www.bongthom.com/job_detail/finance_admin_assistant_38019.html,BongThom
38022,Receptionist,Animal Doctors International - Cambodia,N/A,N/A,https://www.bongthom.com/job_detail/receptionist_38022.html,BongThom
38015,Various Positions,LOLC (Cambodia) Plc.,N/A,N/A,https://www.bongthom.com/job_detail/various_positions_38015.html,BongThom
38014,Call For Expression Of Interest for Promoting the Mergers and Acquisitions (M&A) in the Piped Water Supply Sector,Branch of Cowater International Inc.,N/A,N/A,https://www.bongthom.com/job_detail/call_for_expression_of_interest_for_prom_38014.html,BongThom
38013,"Finance for Project Implementation, and Backend Developer","Solar Green Energy (Cambodia) Co., Ltd.",N/A,N/A,https://www.bongthom.com/job_detail/finance_for_project_implementation_and_b_38013.html,BongThom
